year,ticker,return_pct,source_note
2006,GM,58.2,best Dow stock of 2006
2007,GM,-19.0,year-end closes
2008,GM,-87.1,$24.89 -> $3.20
2000,AA,-19.3,estimate
2001,AA,6.1,estimate
2002,AA,-35.9,estimate
2003,AA,66.8,estimate
2004,AA,-17.3,estimate
2005,AA,-5.9,estimate
2006,AA,1.5,estimate
2007,AA,21.8,estimate
2008,AA,-69.2,$36.55 -> $11.26
2009,AA,43.2,year-end closes
2010,AA,-4.5,year-end closes
2011,AA,-43.8,$15.39 -> $8.65
2012,AA,0.3,year-end closes
2013,AA,22.5,year-end closes
2014,AA,48.5,year-end closes
2015,AA,-37.5,year-end closes
2000,WBA,42.9,estimate; traded as WAG
2001,WBA,-19.6,estimate
2002,WBA,-13.2,estimate
2003,WBA,24.7,estimate
2004,WBA,5.4,estimate
2005,WBA,15.4,estimate
2006,WBA,3.7,estimate
2007,WBA,-17.0,estimate
2008,WBA,-35.2,estimate
2009,WBA,48.8,estimate
2010,WBA,6.1,estimate
2011,WBA,-15.1,estimate
2012,WBA,11.9,estimate
2013,WBA,55.2,Alliance Boots deal year
2014,WBA,32.7,estimate
2015,WBA,11.8,estimate
2016,WBA,-2.8,estimate
2017,WBA,-12.3,estimate
2018,WBA,-5.9,estimate
2019,WBA,-13.7,estimate
2020,WBA,-32.4,estimate
2021,WBA,30.8,estimate
2022,WBA,-28.4,estimate
2023,WBA,-30.1,estimate
2024,WBA,-64.4,$26.11 -> $9.30
2008,AIG,-97.3,$58.30 -> $1.57
